disease,symptoms,context
marfanoid hypermobility syndrome,"Joint hypermobility, chronic pain, joint instability, frequent dislocations, easy bruising, stretch marks, velvety skin, delayed wound healing, fatigue, gastrointestinal problems, anxiety, depression","marfanoid hypermobility syndrome: Joint hypermobility, chronic pain, joint instability, frequent dislocations, easy bruising, stretch marks, velvety skin, delayed wound healing, fatigue, gastrointestinal problems, anxiety, depression"
maroteaux-lamy syndrome,"Coarse facial features, short stature, joint stiffness, joint pain, joint deformities, kyphosis, scoliosis, hearing loss, thickened skin, corneal clouding, enlarged organs, heart problems","maroteaux-lamy syndrome: Coarse facial features, short stature, joint stiffness, joint pain, joint deformities, kyphosis, scoliosis, hearing loss, thickened skin, corneal clouding, enlarged organs, heart problems"
masked hypertension,"No obvious symptoms; may experience high blood pressure readings only during medical checkups, higher risk of cardiovascular disease, organ damage, and other complications","masked hypertension: No obvious symptoms; may experience high blood pressure readings only during medical checkups, higher risk of cardiovascular disease, organ damage, and other complications"
mastitis,"Breast pain, tenderness, redness, warmth, swelling, fever, chills, flu-like symptoms, breast lump, nipple discharge","mastitis: Breast pain, tenderness, redness, warmth, swelling, fever, chills, flu-like symptoms, breast lump, nipple discharge"
mastocytosis,"Itching, flushing or redness of the skin, hives, swelling, abdominal pain, diarrhea, nausea, vomiting, headache, low blood pressure, rapid heart rate, fainting, shortness of breath, anaphylaxis","mastocytosis: Itching, flushing or redness of the skin, hives, swelling, abdominal pain, diarrhea, nausea, vomiting, headache, low blood pressure, rapid heart rate, fainting, shortness of breath, anaphylaxis"
mcardle disease,"Exercise-induced muscle pain, cramps, stiffness, weakness, fatigue, myoglobinuria (dark urine after exercise), myopathy, rhabdomyolysis, exercise intolerance, muscle breakdown, risk of kidney damage","mcardle disease: Exercise-induced muscle pain, cramps, stiffness, weakness, fatigue, myoglobinuria (dark urine after exercise), myopathy, rhabdomyolysis, exercise intolerance, muscle breakdown, risk of kidney damage"
mcl injury,"Knee pain, swelling, instability, difficulty bearing weight on the affected leg, popping or snapping sensation, limited range of motion, tenderness along the inner side of the knee","mcl injury: Knee pain, swelling, instability, difficulty bearing weight on the affected leg, popping or snapping sensation, limited range of motion, tenderness along the inner side of the knee"
measles,"Fever, cough, runny nose, sore throat, inflamed eyes (conjunctivitis), rash (starts as flat red spots that often merge), Koplik's spots (small white spots on the inside of the cheek), fatigue","measles: Fever, cough, runny nose, sore throat, inflamed eyes (conjunctivitis), rash (starts as flat red spots that often merge), Koplik's spots (small white spots on the inside of the cheek), fatigue"
measles (rubeola),"Fever, cough, runny nose, sore throat, red eyes, rash (starts on the face and spreads downward), white spots inside the mouth (Koplik's spots), sensitivity to light, severe complications including pneumonia and encephalitis","measles (rubeola): Fever, cough, runny nose, sore throat, red eyes, rash (starts on the face and spreads downward), white spots inside the mouth (Koplik's spots), sensitivity to light, severe complications including pneumonia and encephalitis"
meckel's diverticulum,"Intestinal bleeding, abdominal pain, abdominal tenderness, vomiting, nausea, fever, distension, constipation, diarrhea, peritonitis, bowel obstruction","meckel's diverticulum: Intestinal bleeding, abdominal pain, abdominal tenderness, vomiting, nausea, fever, distension, constipation, diarrhea, peritonitis, bowel obstruction"
meconium ileus,"Failure to pass meconium (first stool) within the first 48 hours after birth, abdominal distension, vomiting, constipation, signs of intestinal obstruction, failure to thrive","meconium ileus: Failure to pass meconium (first stool) within the first 48 hours after birth, abdominal distension, vomiting, constipation, signs of intestinal obstruction, failure to thrive"
median arcuate ligament syndrome,"Chronic abdominal pain, postprandial pain, weight loss, nausea, vomiting, abdominal bruit, diarrhea, constipation, bloating, malabsorption, fear of eating due to pain","median arcuate ligament syndrome: Chronic abdominal pain, postprandial pain, weight loss, nausea, vomiting, abdominal bruit, diarrhea, constipation, bloating, malabsorption, fear of eating due to pain"
medication-overuse headache,"Chronic daily headache, increased headache frequency, headache worsens with medication use, headache persists despite medication withdrawal, nausea, restlessness, irritability, difficulty concentrating","medication-overuse headache: Chronic daily headache, increased headache frequency, headache worsens with medication use, headache persists despite medication withdrawal, nausea, restlessness, irritability, difficulty concentrating"
meige syndrome,"Involuntary blinking (blepharospasm), forceful closing of the eyelids, involuntary jaw opening (oromandibular dystonia), difficulty speaking or swallowing, tongue protrusion, facial grimacing","meige syndrome: Involuntary blinking (blepharospasm), forceful closing of the eyelids, involuntary jaw opening (oromandibular dystonia), difficulty speaking or swallowing, tongue protrusion, facial grimacing"
melanoma,"Changes in the appearance of moles or pigmented areas of the skin (asymmetry, irregular borders, multiple colors, diameter larger than a pencil eraser), itching, bleeding, ulceration, swelling, redness","melanoma: Changes in the appearance of moles or pigmented areas of the skin (asymmetry, irregular borders, multiple colors, diameter larger than a pencil eraser), itching, bleeding, ulceration, swelling, redness"
meniere's disease,"Recurrent episodes of vertigo (spinning sensation), fluctuating hearing loss, tinnitus (ringing in the ear), sensation of fullness or pressure in the ear","meniere's disease: Recurrent episodes of vertigo (spinning sensation), fluctuating hearing loss, tinnitus (ringing in the ear), sensation of fullness or pressure in the ear"
meningitis,"Sudden onset of high fever, severe headache, stiffness of the neck, nausea, vomiting, sensitivity to light (photophobia), confusion, seizures, rash, coma, death","meningitis: Sudden onset of high fever, severe headache, stiffness of the neck, nausea, vomiting, sensitivity to light (photophobia), confusion, seizures, rash, coma, death"
meniscal tear,"Knee pain, swelling, stiffness, popping or clicking sensation, locking of the knee, difficulty straightening the knee, feeling of instability or giving way, limited range of motion, difficulty walking","meniscal tear: Knee pain, swelling, stiffness, popping or clicking sensation, locking of the knee, difficulty straightening the knee, feeling of instability or giving way, limited range of motion, difficulty walking"
menopause,"Irregular periods, hot flashes, night sweats, sleep disturbances, mood swings, vaginal dryness, decreased libido, weight gain, thinning hair, dry skin, joint pain, urinary problems","menopause: Irregular periods, hot flashes, night sweats, sleep disturbances, mood swings, vaginal dryness, decreased libido, weight gain, thinning hair, dry skin, joint pain, urinary problems"
menorrhagia,"Heavy menstrual bleeding (soaking through one or more sanitary pads or tampons every hour for several consecutive hours), prolonged periods, passing blood clots, menstrual periods lasting more than a week","menorrhagia: Heavy menstrual bleeding (soaking through one or more sanitary pads or tampons every hour for several consecutive hours), prolonged periods, passing blood clots, menstrual periods lasting more than a week"
menstrual cramps,"Lower abdominal pain, cramping, back pain, pelvic pressure, bloating, nausea, vomiting, diarrhea, headache, fatigue, irritability, mood swings","menstrual cramps: Lower abdominal pain, cramping, back pain, pelvic pressure, bloating, nausea, vomiting, diarrhea, headache, fatigue, irritability, mood swings"
mesenteric ischemia,"Abdominal pain (often severe and sudden-onset), cramping, tenderness, vomiting, diarrhea, bloody stools, fever, nausea, loss of appetite, unintentional weight loss, dehydration","mesenteric ischemia: Abdominal pain (often severe and sudden-onset), cramping, tenderness, vomiting, diarrhea, bloody stools, fever, nausea, loss of appetite, unintentional weight loss, dehydration"
mesothelioma,"Shortness of breath, chest pain, persistent cough, coughing up blood, fatigue, unexplained weight loss, lumps under the skin on the chest, abdominal pain and swelling, bowel obstruction","mesothelioma: Shortness of breath, chest pain, persistent cough, coughing up blood, fatigue, unexplained weight loss, lumps under the skin on the chest, abdominal pain and swelling, bowel obstruction"
metabolic syndrome,"Abdominal obesity, high blood pressure, high blood sugar, high triglycerides, low HDL cholesterol, insulin resistance, increased risk of cardiovascular disease, type 2 diabetes, stroke, fatty liver disease","metabolic syndrome: Abdominal obesity, high blood pressure, high blood sugar, high triglycerides, low HDL cholesterol, insulin resistance, increased risk of cardiovascular disease, type 2 diabetes, stroke, fatty liver disease"
metatarsalgia,"Pain and inflammation in the ball of the foot (usually under the second toe), worsened pain when standing, walking, or running, feeling of a pebble in the shoe, numbness or tingling in the toes","metatarsalgia: Pain and inflammation in the ball of the foot (usually under the second toe), worsened pain when standing, walking, or running, feeling of a pebble in the shoe, numbness or tingling in the toes"
metrorrhagia,"Abnormal uterine bleeding between menstrual periods, bleeding after menopause, irregular menstrual bleeding, bleeding after sex, heavy or prolonged menstrual bleeding, pelvic pain or discomfort","metrorrhagia: Abnormal uterine bleeding between menstrual periods, bleeding after menopause, irregular menstrual bleeding, bleeding after sex, heavy or prolonged menstrual bleeding, pelvic pain or discomfort"
